symbol,currency,currency_raw,close_local,close_usd,fx_to_usd,date,status,source,error
ALL.L,GBP,GBp,0.170000,0.220000,1.346000,2026-06-01,ok,yahoo,
AMZN,USD,USD,261.260000,261.260000,1.000000,2026-06-01,ok,yahoo,
ARA.TO,CAD,CAD,4.450000,3.220000,0.722585,2026-06-01,ok,yahoo,
ARR.AX,AUD,AUD,0.390000,0.280000,0.716430,2026-06-01,ok,yahoo,
ASCU.TO,CAD,CAD,10.260000,7.410000,0.722585,2026-06-01,ok,yahoo,
ASTS,USD,USD,105.650000,105.650000,1.000000,2026-06-01,ok,yahoo,
BEAM,USD,USD,31.140000,31.140000,1.000000,2026-06-01,ok,yahoo,
BKSY,USD,USD,42.380000,42.380000,1.000000,2026-06-01,ok,yahoo,
CDZI,USD,USD,4.700000,4.700000,1.000000,2026-06-01,ok,yahoo,
COPX,USD,USD,90.060000,90.060000,1.000000,2026-06-01,ok,yahoo,
CRSP,USD,USD,54.190000,54.190000,1.000000,2026-06-01,ok,yahoo,
DNN,USD,USD,3.430000,3.430000,1.000000,2026-06-01,ok,yahoo,
DYL.AX,AUD,AUD,1.600000,1.140000,0.716430,2026-06-01,ok,yahoo,
FCU.TO,USD,USD,,,1.000000,,missing,yahoo,HTTP Error 404: Not Found
GLO.TO,CAD,CAD,0.740000,0.530000,0.722585,2026-06-01,ok,yahoo,
GOOGL,USD,USD,376.370000,376.370000,1.000000,2026-06-01,ok,yahoo,
HYMC,USD,USD,32.840000,32.840000,1.000000,2026-06-01,ok,yahoo,
IBM,USD,USD,320.420000,320.420000,1.000000,2026-06-01,ok,yahoo,
ICG.CN,CAD,CAD,0.460000,0.330000,0.722585,2026-06-01,ok,yahoo,
IVN.TO,CAD,CAD,12.760000,9.220000,0.722585,2026-06-01,ok,yahoo,
JPM,USD,USD,296.580000,296.580000,1.000000,2026-06-01,ok,yahoo,
KTOS,USD,USD,63.490000,63.490000,1.000000,2026-06-01,ok,yahoo,
LAAC,USD,USD,,,1.000000,,missing,yahoo,HTTP Error 404: Not Found
LAES,USD,USD,3.550000,3.550000,1.000000,2026-06-01,ok,yahoo,
LYC.AX,AUD,AUD,18.670000,13.380000,0.716430,2026-06-01,ok,yahoo,
MOS,USD,USD,23.330000,23.330000,1.000000,2026-06-01,ok,yahoo,
MP,USD,USD,69.290000,69.290000,1.000000,2026-06-01,ok,yahoo,
MSFT,USD,USD,460.520000,460.520000,1.000000,2026-06-01,ok,yahoo,
NAUFF,USD,USD,2.080000,2.080000,1.000000,2026-06-01,ok,yahoo,
NGEX.V,USD,USD,,,1.000000,,missing,yahoo,HTTP Error 404: Not Found
NTDOY,USD,USD,11.250000,11.250000,1.000000,2026-06-01,ok,yahoo,
NTR,USD,USD,69.570000,69.570000,1.000000,2026-06-01,ok,yahoo,
NVDA,USD,USD,224.360000,224.360000,1.000000,2026-06-01,ok,yahoo,
NXE,USD,USD,11.400000,11.400000,1.000000,2026-06-01,ok,yahoo,
OKLO,USD,USD,66.890000,66.890000,1.000000,2026-06-01,ok,yahoo,
PL,USD,USD,46.460000,46.460000,1.000000,2026-06-01,ok,yahoo,
PLTR,USD,USD,160.650000,160.650000,1.000000,2026-06-01,ok,yahoo,
PMET.V,USD,USD,,,1.000000,,missing,yahoo,HTTP Error 404: Not Found
QBTS,USD,USD,29.180000,29.180000,1.000000,2026-06-01,ok,yahoo,
RCAT,USD,USD,14.840000,14.840000,1.000000,2026-06-01,ok,yahoo,
RGTI,USD,USD,25.630000,25.630000,1.000000,2026-06-01,ok,yahoo,
RKLB,USD,USD,122.390000,122.390000,1.000000,2026-06-01,ok,yahoo,
RTX,USD,USD,174.410000,174.410000,1.000000,2026-06-01,ok,yahoo,
RXRX,USD,USD,3.790000,3.790000,1.000000,2026-06-01,ok,yahoo,
SGML,USD,USD,16.360000,16.360000,1.000000,2026-06-01,ok,yahoo,
SHLD,USD,USD,65.620000,65.620000,1.000000,2026-06-01,ok,yahoo,
SLS.TO,CAD,CAD,14.750000,10.660000,0.722585,2026-06-01,ok,yahoo,
SMR,USD,USD,12.890000,12.890000,1.000000,2026-06-01,ok,yahoo,
URA,USD,USD,50.540000,50.540000,1.000000,2026-06-01,ok,yahoo,
USGDF,USD,USD,0.120000,0.120000,1.000000,2026-06-01,ok,yahoo,
UURAF,USD,USD,4.090000,4.090000,1.000000,2026-06-01,ok,yahoo,
UUUU,USD,USD,17.620000,17.620000,1.000000,2026-06-01,ok,yahoo,
XOVR,USD,USD,20.580000,20.580000,1.000000,2026-06-01,ok,yahoo,
